Date, Open, High, Low, Close
09/01/17, 180.63, 181.00, 179.61, 180.95
08/31/17, 177.32, 180.89, 177.16, 180.86
08/30/17, 177.35, 177.50, 176.57, 176.87
08/29/17, 177.85, 178.38, 176.96, 177.53
08/28/17, 178.12, 178.69, 177.57, 178.01
08/25/17, 178.60, 178.60, 177.32, 177.83
08/24/17, 177.96, 178.22, 176.98, 177.80
08/23/17, 176.53, 177.67, 176.40, 177.58
08/22/17, 176.69, 177.19, 176.31, 176.73
08/21/17, 177.69, 177.71, 176.21, 176.55
08/18/17, 176.21, 177.67, 175.18, 177.50
08/17/17, 175.34, 175.99, 174.68, 175.89
08/16/17, 176.72, 176.74, 175.25, 175.36
08/15/17, 176.40, 176.56, 175.78, 176.31
08/14/17, 178.54, 179.09, 177.39, 177.51
08/11/17, 178.62, 179.80, 178.47, 179.61
08/10/17, 182.22, 182.55, 178.83, 178.91
08/09/17, 181.40, 181.72, 180.94, 181.56
08/08/17, 181.21, 181.42, 180.27, 181.09
08/07/17, 180.30, 180.97, 179.61, 180.97
08/04/17, 180.50, 180.94, 179.98, 180.68
08/03/17, 181.92, 182.09, 180.60, 180.65
08/02/17, 180.67, 182.03, 180.27, 181.98
08/01/17, 182.39, 182.36, 179.69, 180.76
07/31/17, 181.93, 182.69, 181.42, 182.64
07/28/17, 181.09, 182.58, 181.09, 182.12
07/27/17, 179.62, 181.41, 179.61, 181.14
07/26/17, 177.76, 179.52, 177.71, 179.45
07/25/17, 177.09, 177.95, 177.00, 177.67
07/24/17, 176.16, 176.67, 176.00, 176.23
07/21/17, 177.60, 177.99, 176.54, 176.66
07/20/17, 179.06, 179.74, 178.35, 178.40
07/19/17, 177.39, 178.80, 177.24, 178.66
07/18/17, 177.64, 178.01, 176.34, 176.88
07/17/17, 176.68, 176.80, 175.83, 175.88
07/14/17, 175.23, 176.34, 174.63, 176.28
07/13/17, 173.24, 174.96, 173.24, 174.35
07/12/17, 174.32, 175.11, 173.56, 173.88
07/11/17, 171.56, 174.06, 171.43, 173.92
07/10/17, 172.69, 173.32, 172.26, 172.74
07/07/17, 172.78, 173.49, 171.88, 172.56
07/06/17, 174.39, 175.11, 173.77, 174.43
07/05/17, 175.20, 175.70, 173.36, 173.65
07/03/17, 175.00, 176.73, 174.83, 176.16
06/30/17, 172.70, 174.82, 172.48, 174.78
06/29/17, 171.99, 172.56, 171.53, 171.89
06/28/17, 170.05, 171.11, 169.78, 170.98
06/27/17, 169.91, 170.44, 169.32, 170.01
06/26/17, 168.11, 168.60, 167.16, 168.57
06/23/17, 167.17, 168.02, 166.74, 167.74
06/22/17, 167.59, 167.78, 166.48, 166.50
06/21/17, 169.96, 170.08, 166.91, 167.42
06/20/17, 169.87, 169.88, 168.70, 169.66
06/19/17, 172.67, 172.67, 171.15, 171.28
06/16/17, 173.44, 173.46, 172.73, 173.05
06/15/17, 172.34, 173.02, 172.06, 172.78
06/14/17, 175.08, 175.73, 172.91, 173.02
06/13/17, 175.75, 175.99, 175.07, 175.83
06/12/17, 177.76, 177.81, 175.89, 175.93
06/09/17, 176.24, 177.22, 176.03, 176.76
06/08/17, 175.98, 176.67, 175.69, 176.10
06/07/17, 178.00, 178.07, 175.53, 175.61
06/06/17, 177.33, 178.30, 177.08, 178.08
06/05/17, 177.28, 177.49, 176.85, 177.30
06/02/17, 177.54, 178.47, 177.47, 177.96
06/01/17, 179.64, 180.10, 179.00, 179.09
05/31/17, 180.15, 180.43, 178.99, 179.77
05/30/17, 181.17, 181.62, 180.50, 181.33
05/26/17, 180.58, 182.04, 180.19, 182.00
05/25/17, 183.26, 184.04, 180.79, 181.15
05/24/17, 184.54, 184.67, 183.36, 183.92
05/23/17, 185.41, 186.07, 184.79, 185.06
05/22/17, 185.85, 186.35, 185.48, 186.07
05/19/17, 183.74, 185.10, 183.73, 185.08
05/18/17, 181.51, 183.02, 181.22, 182.51
05/17/17, 182.84, 183.66, 182.42, 183.24
05/16/17, 183.00, 183.22, 182.00, 182.14
05/15/17, 184.21, 184.66, 182.74, 182.74
05/12/17, 180.80, 181.74, 180.80, 181.69
05/11/17, 180.46, 180.61, 179.58, 180.44
05/10/17, 178.02, 179.98, 177.95, 179.51
05/09/17, 178.20, 178.59, 177.00, 177.29
05/08/17, 177.58, 178.49, 177.14, 178.13
05/05/17, 177.09, 178.69, 176.68, 177.92
05/04/17, 179.14, 179.14, 176.75, 177.01
05/03/17, 180.02, 180.64, 179.54, 180.40
05/02/17, 182.15, 182.15, 180.10, 180.34
05/01/17, 181.96, 182.17, 181.27, 181.59
04/28/17, 181.30, 181.92, 180.59, 181.73
04/27/17, 180.27, 180.70, 179.72, 180.49
04/26/17, 181.75, 182.83, 181.21, 181.71
04/25/17, 180.74, 181.92, 180.39, 181.91
04/24/17, 182.29, 182.35, 180.69, 180.93
04/21/17, 183.09, 183.45, 181.43, 181.87
04/20/17, 184.36, 184.36, 182.94, 183.04
04/19/17, 186.69, 187.02, 183.59, 183.92
04/18/17, 186.65, 187.01, 185.90, 186.54
04/17/17, 187.42, 188.08, 187.29, 187.39
04/13/17, 187.82, 188.28, 187.35, 187.77
04/12/17, 188.25, 188.51, 187.23, 187.38
04/11/17, 187.62, 188.01, 186.88, 188.00
04/10/17, 187.61, 187.74, 187.10, 187.63
04/07/17, 186.73, 187.25, 186.00, 187.11
04/06/17, 186.53, 187.00, 186.29, 186.78
04/05/17, 186.83, 187.08, 185.80, 186.15
04/04/17, 184.88, 185.70, 184.60, 185.59
04/03/17, 186.30, 186.56, 184.47, 184.53
03/31/17, 185.39, 186.10, 184.93, 185.88
03/30/17, 184.75, 186.17, 184.60, 185.52
03/29/17, 184.10, 185.26, 183.93, 185.21
03/28/17, 183.69, 184.42, 183.50, 184.08
03/27/17, 183.09, 183.20, 182.15, 183.10
03/24/17, 183.84, 183.91, 183.19, 183.47
03/23/17, 184.09, 184.15, 183.10, 183.64
03/22/17, 183.12, 184.33, 182.85, 183.85
03/21/17, 185.27, 185.32, 183.97, 184.29
03/20/17, 184.01, 185.30, 183.58, 184.78
03/17/17, 184.45, 184.67, 183.78, 184.48
03/16/17, 185.03, 185.05, 183.91, 184.04
03/15/17, 183.65, 184.02, 182.90, 183.79
03/14/17, 182.85, 182.85, 181.55, 182.12
03/13/17, 182.85, 183.45, 182.62, 183.16
03/10/17, 183.54, 184.57, 182.41, 182.65
03/09/17, 183.53, 184.82, 182.41, 183.22
03/08/17, 187.68, 188.11, 184.86, 185.05
03/07/17, 189.25, 189.56, 187.97, 188.02
03/06/17, 190.04, 190.75, 189.35, 189.42
03/03/17, 188.87, 189.77, 188.79, 189.72
03/02/17, 190.29, 190.29, 188.69, 188.81
03/01/17, 191.07, 191.39, 190.44, 191.27
02/28/17, 189.72, 190.64, 189.18, 190.62
02/27/17, 190.96, 191.07, 189.83, 189.88
02/24/17, 191.52, 191.55, 190.58, 190.93
